dts,NSW_min,NSW_mean,VIC_min,VIC_mean,QLD_min,QLD_mean,SA_min,SA_mean,WA_min,WA_mean,TAS_min,TAS_mean,NT_min,NT_mean,ACT_min,ACT_mean
2002-03-05,0.0,0.000640505119106217,0.0,2.809571526335572e-06,0.0,0.0002959303793678142,0.0,2.830625033419552e-06,0.0,1.6411671260525015e-05,0.0,3.816848044373872e-06,,,0.0,0.001327702586571893
2002-03-06,0.0,0.0004557680524064398,0.0,2.4322155852617623e-06,0.0,0.0001274019383996486,0.0,1.3129582449277725e-06,0.0,5.701576407320266e-06,0.0,2.353722960697221e-05,,,0.0,0.0005620685867882022
2002-03-07,0.0,0.00010972396520351747,0.0,0.00018884934616079878,0.0,0.00011721904359977826,0.0,4.5177057889987865e-07,0.0,9.323978930333168e-07,0.0,0.0011000808945787826,,,0.0,0.0013104313859635443
2002-03-08,0.0,0.0001595829898063594,0.0,0.00010614907273428655,0.0,5.9442776063435856e-05,0.0,8.941292707393432e-07,0.0,6.104636598875613e-05,0.0,0.0006531078999086846,,,0.0,8.048714846609102e-06
2002-03-09,0.0,0.0006528938359805236,0.0,4.0271623772501494e-05,0.0,0.00017328624621150182,0.0,0.0,0.0,0.0005274156403094962,0.0,3.708871422065927e-05,,,0.0,1.0060893558261377e-06
2002-03-10,0.0,0.00018221568957191395,0.0,6.0311036870312e-07,0.0,0.0013862099636646667,0.0,0.0,0.0,0.000834550442960948,0.0,5.022168479439305e-08,,,0.0,0.0
2002-03-11,0.0,6.242327139557627e-05,0.0,5.258265536971738e-06,0.0,0.001002867041523843,0.0,1.3129582449277722e-06,0.0,7.66621952681409e-06,0.0,0.00012860099419684248,,,0.0,0.0
2002-03-12,0.0,1.1673805546620348e-05,0.0,0.000198889650741422,0.0,8.287603079680522e-05,0.0,9.27306172627303e-06,0.0,0.0,9.155413138017853e-05,0.006201825633574803,,,0.0,8.417614277078687e-05
2002-03-13,0.0,0.00019353914592912152,0.0,3.1984623651714637e-06,0.0,0.00011878341677281083,0.0,0.0,0.0,1.688594609430416e-07,0.0,6.762349857565025e-05,,,0.0,0.0
2002-03-14,0.0,0.0001660115065759903,0.0,8.183186040928124e-06,0.0,0.0002134850193139657,0.0,0.0,0.0,2.9954200028156947e-07,0.0,2.4683958076444183e-05,,,0.0,0.0
2002-03-15,0.0,9.481529249623386e-05,0.0,1.8399809773057475e-05,0.0,3.431407445265578e-05,0.0,2.2635588380296006e-06,0.0,6.964938843801946e-05,0.0,0.00012859262391604341,,,0.0,0.0
2002-03-16,0.0,1.6247532489948316e-05,0.0,6.541934873637667e-06,0.0,1.1616194268524809e-05,0.0,5.094183871449151e-06,0.0,8.78260081511839e-05,0.0,0.000676938089343624,,,0.0,0.0
2002-03-17,0.0,3.5603436895700944e-07,0.0,2.6518729955025437e-05,0.0,3.440259175950855e-06,0.0,0.0,0.0,0.00011355725331262615,0.0,0.0009269165254077152,,,0.0,0.0
2002-03-18,0.0,5.766193352728892e-06,0.0,1.75116226453772e-05,0.0,3.850502848095415e-06,0.0,0.0,0.0,0.00011480240829418877,0.0,5.2431438925346345e-05,,,0.0,0.0
2002-03-19,0.0,1.5051512843332255e-05,0.0,9.013698679797995e-06,0.0,4.127970559960824e-06,0.0,8.894233272091362e-07,0.0,1.4712798249124149e-06,0.0,5.945410451576231e-05,,,0.0,0.0
2002-03-20,0.0,9.685556130516715e-05,0.0,9.831687715383318e-05,0.0,1.8946108178294418e-06,0.0,1.3329585049311525e-05,0.0,9.545698744267073e-06,0.0,0.0022589127900862057,,,0.0,0.0
2002-03-21,0.0,0.00014272998569495122,0.0,0.0008808377499632942,0.0,1.7371521469855754e-05,0.0,3.153217462415247e-05,0.0,0.00016626343027393466,0.0,0.0034268096996990173,,,0.0,0.0
2002-03-22,0.0,0.0011283674313346855,0.0,0.00016816068310323683,0.0,0.0001814060068593423,0.0,2.0652033182313727e-05,0.0,0.0006993762419613351,0.0,2.557120784114513e-05,,,0.0,7.042625490782964e-06
2002-03-23,0.0,0.0006777387812362241,0.0,4.730955924990867e-06,0.0,0.0007037721684360425,0.0,0.0,0.0,0.00269757247051611,0.0,3.515517935607513e-06,,,0.0,0.0
2002-03-24,0.0,5.623921734634694e-05,0.0,5.573003461622819e-06,0.0,0.0004457357076807182,0.0,0.0,0.0,5.4165710041111845e-05,0.0,8.520945853448686e-06,,,0.0,0.0
2002-03-25,0.0,0.00010838510542085283,0.0,0.0015948957088697266,0.0,0.00015525935621975537,0.0,6.161021269747095e-05,0.0,5.423325382548907e-05,0.0,0.00014539177747976785,,,0.0,6.070072446817697e-05
2002-03-26,0.0,0.0021104800656570016,0.0,0.007366724555375007,0.0,0.0001401433238187442,0.0,0.005380886422111723,0.0,9.671829419875834e-05,0.0,0.002468194920905241,,,0.0005951018539711605,0.0017732324896435681
2002-03-27,0.0,0.011493939257495084,0.0,0.010716135888346143,0.0,0.003451819195774647,0.0,0.000887169180258167,0.0,1.1526493638285885e-05,0.0,3.5222141602467656e-05,,,0.00929274433508812,0.013564432058366598
